,_step,_runtime,global_step,_timestamp,train/episodes,train/episode_length,train/episode_return,train/world_model_loss,train/rewards_mean,train/epsilon,train/q_pred_mean,train/q_loss,eval/successes_strict,eval/ep_len_mean,eval/success_strict_rate,eval/return_mean,eval/time_to_first_band_entry_mean,eval/band_visits_mean,eval/success_reach_rate,eval/successes_reach,eval/video,eval_video/time_to_first_band_entry_mean,eval_video/ep_len_mean,eval_video/return_mean,eval_video/success_reach_rate,eval_video/success_strict_rate,eval_video/band_visits_mean,eval_video/successes_strict,eval_video/successes_reach
107,830,6568.2341866493225,117414,1778803940.8624787,611.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
108,863,6899.355530977249,121801,1778804271.983823,634.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
109,865,6901.037340402603,122001,1778804273.6656325,635.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
110,872,6909.460134983063,123001,1778804282.088427,640.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
111,876,6914.782395601273,123601,1778804287.4106877,643.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
112,880,6920.13477396965,124201,1778804292.763066,646.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
113,894,6935.795352697372,126000,1778804308.4236448,,,,0.00021049614588264376,-0.009999999776482582,0.009999999776482582,-0.6266735792160034,3.1379430294036865,,,,,,,,,,,,,,,,,
114,900,6943.909724473953,126914,1778804316.5380166,661.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
115,916,6963.237629175186,129114,1778804335.8659213,672.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
116,922,7008.580242395401,130000,1778804381.2085345,,,,0.00023973366478458047,-0.009999999776482582,0.009999999776482582,-0.6383013725280762,3.1122734546661377,0.0,197.74000549316406,0.0,-1.9573999643325806,37.620689392089844,0.8999999761581421,0.019999999552965164,1.0,,,,,,,,,
117,930,7018.519942998886,131200,1778804391.148235,683.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
118,932,7020.988510847092,131500,1778804393.616803,,,,0.00018987346265930682,-0.009999999776482582,0.009999999776482582,-0.6449956893920898,3.0937998294830322,,,,,,,,,,,,,,,,,
119,938,7028.051370859146,132336,1778804400.679663,689.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
120,941,7029.854871034622,132562,1778804402.483163,691.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
121,942,7031.435421705246,132762,1778804404.0637138,692.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
122,948,7037.4381947517395,133500,1778804410.0664868,,,,0.00047730281949043274,-0.009999999776482582,0.009999999776482582,-0.6483087539672852,3.094712734222412,,,,,,,,,,,,,,,,,
123,956,7047.022927522659,134663,1778804419.6512196,702.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
124,965,7057.843981742859,136000,1778804430.4722738,,,,0.0001953319151652977,-0.009999999776482582,0.009999999776482582,-0.6540092825889587,3.0858795642852783,,,,,,,,,,,,,,,,,
125,974,7068.071919202805,137263,1778804440.7002113,715.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
126,980,7074.59209561348,138059,1778804447.2203877,719.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
127,981,7075.602178812027,138168,1778804448.230471,720.0,109.0,-0.09000000357627869,,,,,,,,,,,,,,,,,,,,,,
128,985,7080.346845626831,138768,1778804452.9751377,723.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
129,986,7081.986471414566,138968,1778804454.6147635,724.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
130,994,7337.163962841034,140000,1778804709.792255,,,,,,,,,,,,,,,,,"{'sha256': '83f56a9b2a0d5ece1fa6467a013374a6516e8ae77f02fa6308995b4c846dca44', 'size': 657589, '_type': 'video-file', 'path': 'media/videos/eval/video_6_83f56a9b2a0d5ece1fa6.mp4'}",,,,,,,,
131,995,7374.263327598572,140000,1778804746.8916197,,,,0.0002901330008171499,-0.009999999776482582,0.009999999776482582,-0.6657810211181641,3.0557219982147217,0.0,197.24000549316406,0.0,-1.9323999881744385,51.82143020629883,0.8399999737739563,0.03999999910593033,2.0,,53.66666793823242,193.10000610351562,-1.8309999704360962,0.10000000149011612,0.0,0.550000011920929,0.0,2.0
132,997,7376.021138429642,140201,1778804748.6494305,731.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
133,1000,7379.556561231613,140601,1778804752.1848533,733.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
134,1015,7399.007206201553,142801,1778804771.6354983,744.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
135,1020,7405.0863564014435,143500,1778804777.7146485,,,,0.00023232385865412652,-0.009999999776482582,0.009999999776482582,-0.6758070588111877,3.036630868911743,,,,,,,,,,,,,,,,,
136,1031,7418.451930522919,145001,1778804791.0802226,755.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
137,1035,7423.814631462097,145601,1778804796.4429235,758.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
138,1038,7427.336811304092,146000,1778804799.9651034,,,,0.0003066914505325258,-0.009999999776482582,0.009999999776482582,-0.6790161728858948,3.026679277420044,,,,,,,,,,,,,,,,,
139,1040,7429.801008224487,146261,1778804802.4293003,762.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
140,1050,7442.210353851318,147661,1778804814.838646,769.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
141,1053,7445.531224727631,148061,1778804818.1595168,771.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
142,1058,7452.815371751785,148861,1778804825.4436638,775.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
143,1082,7519.078758478165,152201,1778804891.7070506,792.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
144,1083,7520.819289922714,152398,1778804893.447582,793.0,197.0,-0.9700000286102295,,,,,,,,,,,,,,,,,,,,,,
145,1091,7529.805079460144,153500,1778804902.4333715,,,,0.0006366943707689643,-0.009999999776482582,0.009999999776482582,-0.6921856999397278,2.999136447906494,,,,,,,,,,,,,,,,,
146,1093,7532.234621286392,153798,1778804904.8629134,800.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
147,1103,7543.888111591339,155198,1778804916.5164037,807.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
148,1106,7547.1259932518005,155598,1778804919.7542853,809.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
149,1107,7548.7179481983185,155798,1778804921.3462403,810.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
150,1118,7561.75048327446,157398,1778804934.3787754,818.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
151,1125,7569.783268690109,158398,1778804942.4115608,823.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
152,1133,7578.799102544785,159500,1778804951.4273946,,,,0.0001829327957239002,-0.009999999776482582,0.009999999776482582,-0.7001546621322632,2.9839582443237305,,,,,,,,,,,,,,,,,
153,1145,7884.4760110378265,160895,1778805257.1043031,837.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
154,1164,7908.040550947189,163500,1778805280.668843,,,,0.00047783541958779097,-0.009999999776482582,0.009999999776482582,-0.7085447907447815,2.9637258052825928,,,,,,,,,,,,,,,,,
155,1165,7908.475613355637,163548,1778805281.1039054,851.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
156,1172,7917.052752256393,164548,1778805289.6810443,856.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
157,1173,7918.862464189529,164748,1778805291.4907563,857.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
158,1181,7929.7914979457855,165948,1778805302.41979,863.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
159,1186,7935.023694753647,166548,1778805307.6519868,866.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
160,1197,7949.189757108688,168148,1778805321.8180492,874.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
161,1198,7951.0009253025055,168348,1778805323.6292174,875.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
162,1213,8002.83113694191,170201,1778805375.459429,886.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
163,1215,8004.619209527969,170425,1778805377.2475016,888.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
164,1222,8012.9443073272705,171425,1778805385.5725994,893.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
165,1226,8016.965525627136,171922,1778805389.5938177,896.0,111.0,-0.10999999940395355,,,,,,,,,,,,,,,,,,,,,,
166,1230,8021.789368152618,172500,1778805394.4176602,,,,0.0004037602338939905,-0.009999999776482582,0.009999999776482582,-0.7236005067825317,2.933151960372925,,,,,,,,,,,,,,,,,
167,1234,8025.930145263672,173000,1778805398.5584373,,,,0.00043767003808170557,-0.009999999776482582,0.009999999776482582,-0.7222887873649597,2.9344332218170166,,,,,,,,,,,,,,,,,
168,1245,8038.260994911194,174522,1778805410.889287,909.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
169,1254,8050.017788887024,175922,1778805422.646081,916.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
170,1271,8068.350626468658,178121,1778805440.9789186,928.0,172.0,-0.7200000286102295,,,,,,,,,,,,,,,,,,,,,,
