_step,_runtime,global_step,_timestamp,train/episodes,train/episode_length,train/episode_return,train/info_gain_shaped_max_abs,train/world_model_loss,train/env_reward_mean,train/env_abs_ema,train/rewards_mean,train/info_gain_to_env_abs_ratio,train/epsilon,train/info_gain_clip_min,train/mi_beta_effective,train/q_pred_mean,train/info_std_ema,train/q_loss,train/info_gain_raw_mean,train/env_reward_std,train/info_gain_clip_max,train/env_reward_abs_mean,train/info_gain_raw_std,train/env_reward_max_abs,train/info_gain_shaped_abs_mean,train/info_gain_clip_mean,train/mi_raw_std,train/info_gain_shaped_mean,train/mi_raw_mean,train/info_gain_shaped_std,train/mi_target_ratio,train/info_norm_abs_ema,eval/video,eval/successes_strict,eval/ep_len_mean,eval/success_strict_rate,eval/return_mean,eval_video/time_to_first_band_entry_mean,eval/time_to_first_band_entry_mean,eval_video/ep_len_mean,eval_video/return_mean,eval_video/success_reach_rate,eval_video/success_strict_rate,eval_video/band_visits_mean,eval/band_visits_mean,eval/success_reach_rate,eval_video/successes_strict,eval_video/successes_reach,eval/successes_reach
82,4106.221441745758,14500,1778939364.1490228,,,,0.0023371169809252024,0.0010589587036520243,-0.010000000707805157,0.01002124510705471,-0.009999999776482582,0.04943821579217911,0.8564500212669373,-2.7959342002868652,0.0008358983905054629,-0.07159692049026489,1.637824453837311e-07,3.8958938121795654,9.047133708861566e-09,0.0,2.6918139457702637,0.010000000707805157,1.6491790688633046e-07,0.009999999776482582,0.0004943826934322715,-1.6497715193963813e-08,1.19832478162607e-07,-9.61465889542934e-12,6.379559636116028e-08,0.0007932597654871643,0.047200001776218414,0.5724635124206543,,,,,,,,,,,,,,,,,
83,4106.4262619018555,14525,1778939364.353843,74.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4108.186352968216,14725,1778939366.113934,75.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4109.901865005493,14925,1778939367.829446,76.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4110.604828119278,15000,1778939368.5324092,,,,0.00227391067892313,0.0039997398853302,-0.010000000707805157,0.010013218969106674,-0.009999999776482582,0.04516610875725746,0.8514999747276306,-2.782263994216919,0.0008172878879122436,-0.0706789493560791,1.6434935901088465e-07,3.895754337310791,8.248857596981907e-09,0.0,2.6876397132873535,0.010000000707805157,1.5768446814945491e-07,0.009999999776482582,0.00045166158815845847,-2.3150018790829563e-08,1.1517470710487032e-07,6.4963910986759466e-12,6.100162863731384e-08,0.0007391687831841409,0.04699999839067459,0.5758329033851624,,,,,,,,,,,,,,,,,
87,4111.666010141373,15125,1778939369.5935912,77.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4113.398663043976,15325,1778939371.326244,78.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4114.913191080093,15500,1778939372.8407722,,,,0.002240243600681424,0.002209385624155402,-0.010000000707805157,0.01001816987991333,-0.009999999776482582,0.047915101051330566,0.8465499877929688,-2.74107027053833,0.0008172878879122436,-0.07921230792999268,1.657075756611448e-07,3.887740135192871,4.789659335813212e-09,0.0,2.686551570892334,0.010000000707805157,1.7261076834529376e-07,0.009999999776482582,0.0004791515239048749,5.8540279290753006e-09,1.2344767696959025e-07,1.1953359309313516e-11,6.472691893577576e-08,0.0008028833544813097,0.04699999839067459,0.5805124640464783,,,,,,,,,,,,,,,,,
90,4115.116525173187,15525,1778939373.0441062,79.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4116.919847011566,15725,1778939374.847428,80.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4118.858300447464,15925,1778939376.7858815,81.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4119.551322221756,16000,1778939377.4789033,,,,0.002404846716672182,0.0013851510593667626,-0.010000000707805157,0.010023017413914204,-0.009999999776482582,0.04633714258670807,0.8416000008583069,-2.764590263366699,0.0008016155916266143,-0.07991267740726471,1.6671522473643563e-07,3.8884661197662354,1.1708055858150601e-08,0.0,3.0,0.010000000707805157,1.6475037512009294e-07,0.009999999776482582,0.00046337192179635167,-0.0010951568838208914,1.228531942842892e-07,-8.77877084803913e-07,6.542541086673737e-08,0.0007440460030920804,0.046799998730421066,0.5851647853851318,,,,,,,,,,,,,,,,,
94,4120.645686388016,16125,1778939378.5732675,82.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
