_step,_runtime,global_step,_timestamp,train/episodes,train/episode_length,train/episode_return,train/world_model_loss,train/rewards_mean,train/epsilon,train/q_pred_mean,train/q_loss,eval/video,eval/successes_strict,eval/ep_len_mean,eval/success_strict_rate,eval/return_mean,eval_video/time_to_first_band_entry_mean,eval/time_to_first_band_entry_mean,eval_video/ep_len_mean,eval_video/return_mean,eval_video/success_reach_rate,eval_video/success_strict_rate,eval_video/band_visits_mean,eval/band_visits_mean,eval/success_reach_rate,eval_video/successes_strict,eval_video/successes_reach,eval/successes_reach
153,4490.469240665436,24000,1778969508.4777207,,,,0.0006496509304270148,-0.009999999776482582,0.7623999714851379,-0.13361011445522308,3.8339920043945312,,,,,,,,,,,,,,,,,
154,4490.597240924835,24019,1778969508.605721,125.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
155,4492.3180549144745,24219,1778969510.326535,126.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
156,4494.0148730278015,24419,1778969512.023353,127.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
157,4494.763808250427,24500,1778969512.7722883,,,,0.0004785106866620481,-0.009999999776482582,0.7574499845504761,-0.14110863208770752,3.8256101608276367,,,,,,,,,,,,,,,,,
158,4495.796612977982,24619,1778969513.805093,128.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
159,4497.4254150390625,24819,1778969515.433895,129.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
160,4498.929437875748,25000,1778969516.937918,,,,0.0005538003169931471,-0.009999999776482582,0.7524999976158142,-0.1433987021446228,3.825456142425537,,,,,,,,,,,,,,,,,
161,4499.070067405701,25019,1778969517.0785475,130.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
162,4500.755750417709,25219,1778969518.7642305,131.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
163,4502.385009288788,25419,1778969520.3934894,132.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
164,4503.0954468250275,25500,1778969521.103927,,,,0.0003892220847774297,-0.009999999776482582,0.7475500106811523,-0.15198680758476257,3.8171305656433105,,,,,,,,,,,,,,,,,
165,4504.036082983017,25619,1778969522.044563,133.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
166,4505.688032388687,25819,1778969523.6965125,134.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
167,4507.1318900585175,26000,1778969525.1403701,,,,0.00042706920066848397,-0.009999999776482582,0.7426000237464905,-0.15018223226070404,3.8171606063842773,,,,,,,,,,,,,,,,,
168,4507.266413450241,26019,1778969525.2748935,135.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
169,4508.832953453064,26219,1778969526.8414335,136.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
170,4510.518816709518,26419,1778969528.5272968,137.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
171,4511.20018362999,26500,1778969529.2086637,,,,0.00039628316881135106,-0.009999999776482582,0.7376499772071838,-0.15892386436462402,3.8087198734283447,,,,,,,,,,,,,,,,,
172,4512.144824028015,26619,1778969530.153304,138.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
173,4513.825426340103,26819,1778969531.8339064,139.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
174,4515.359763145447,27000,1778969533.3682432,,,,0.0005083234282210469,-0.009999999776482582,0.732699990272522,-0.15715619921684265,3.8084499835968018,,,,,,,,,,,,,,,,,
175,4515.562540531158,27019,1778969533.5710206,140.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
176,4517.278386354446,27219,1778969535.2868664,141.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
177,4518.870719432831,27419,1778969536.8791995,142.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
178,4519.486032485962,27500,1778969537.4945126,,,,0.0003841748693957925,-0.009999999776482582,0.7277500033378601,-0.16550251841545105,3.803833246231079,,,,,,,,,,,,,,,,,
179,4520.419280767441,27619,1778969538.4277608,143.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
180,4522.05849814415,27819,1778969540.0669782,144.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
181,4523.526303052902,28000,1778969541.5347831,,,,0.00035594639484770596,-0.009999999776482582,0.7228000164031982,-0.1645887792110443,3.8038418292999268,,,,,,,,,,,,,,,,,
182,4523.684929609299,28019,1778969541.6934097,145.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
183,4524.672021389008,28135,1778969542.6805015,146.0,116.0,-0.1599999964237213,,,,,,,,,,,,,,,,,,,,,,
184,4526.356768846512,28335,1778969544.365249,147.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
185,4527.77637553215,28500,1778969545.7848556,,,,0.00030455569503828883,-0.009999999776482582,0.7178500294685364,-0.1725638508796692,3.7971808910369873,,,,,,,,,,,,,,,,,
186,4528.049498319626,28535,1778969546.0579784,148.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
187,4529.720281600952,28735,1778969547.7287617,149.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
188,4531.400062084198,28935,1778969549.4085422,150.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
189,4531.876860380173,29000,1778969549.8853405,,,,0.0003398832050152123,-0.009999999776482582,0.7128999829292297,-0.1724414974451065,3.794785737991333,,,,,,,,,,,,,,,,,
190,4533.0684978961945,29135,1778969551.076978,151.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
191,4534.772629737854,29335,1778969552.7811098,152.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
192,4536.132574081421,29500,1778969554.1410542,,,,0.0004431079141795635,-0.009999999776482582,0.7079499959945679,-0.17922528088092804,3.7894155979156494,,,,,,,,,,,,,,,,,
193,4536.401022911072,29535,1778969554.409503,153.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
194,4538.124057531357,29735,1778969556.1325376,154.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
195,4539.68666100502,29935,1778969557.695141,155.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
196,4578.5041608810425,30000,1778969596.512641,,,,0.0006095471326261759,-0.009999999776482582,0.703000009059906,-0.17987899482250214,3.789144515991211,,0.0,193.32000732421875,0.0,-1.8932000398635864,,46.8684196472168,,,,,,0.7599999904632568,0.03999999910593033,,,2.0
197,4578.523894786835,30001,1778969596.5323749,156.0,66.0,-0.6600000262260437,,,,,,,,,,,,,,,,,,,,,,
198,4580.138545751572,30201,1778969598.1470258,157.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
