_step,_runtime,global_step,_timestamp,train/episodes,train/episode_length,train/episode_return,train/info_gain_shaped_max_abs,train/world_model_loss,train/env_reward_mean,train/rewards_mean,train/info_gain_to_env_abs_ratio,train/epsilon,train/info_gain_clip_min,train/q_pred_mean,train/q_loss,train/info_gain_raw_mean,train/env_reward_std,train/info_gain_clip_max,train/env_reward_abs_mean,train/info_gain_raw_std,train/env_reward_max_abs,train/info_gain_shaped_abs_mean,train/info_gain_clip_mean,train/mi_raw_std,train/info_gain_shaped_mean,train/mi_raw_mean,train/info_gain_shaped_std,eval/video,eval/successes_strict,eval/ep_len_mean,eval/success_strict_rate,eval/return_mean,eval_video/time_to_first_band_entry_mean,eval/time_to_first_band_entry_mean,eval_video/ep_len_mean,eval_video/return_mean,eval_video/success_reach_rate,eval_video/success_strict_rate,eval_video/band_visits_mean,eval/band_visits_mean,eval/success_reach_rate,eval_video/successes_strict,eval_video/successes_reach,eval/successes_reach
104,4106.190303564072,17500,1778874626.5869026,,,,4.7763542454504204e-08,0.00062129448633641,-0.010000000707805157,-0.009999999776482582,8.70019448484527e-07,0.8267499804496765,-4.776354103341873e-07,-0.07386144995689392,3.8777434825897217,7.982765559688687e-10,0.0,4.7603887765035324e-07,0.010000000707805157,1.5007007903022895e-07,0.009999999776482582,8.700204112699339e-09,-2.6010939736586863e-15,1.0650418147406526e-07,-4.758099055104665e-17,5.3551048040390015e-08,1.5007008968837e-08,,,,,,,,,,,,,,,,,
105,4107.413419723511,17648,1778874627.8100188,90.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4109.064829587936,17848,1778874629.4614286,91.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,4110.382592916489,18000,1778874630.779192,,,,4.80562469817869e-08,0.0027390597388148308,-0.010000000707805157,-0.009999999776482582,9.91940510175482e-07,0.8217999935150146,-4.805624485015869e-07,-0.07429413497447968,3.8774828910827637,3.725290298461914e-09,0.0,4.731118679046631e-07,0.010000000707805157,1.6816940728858754e-07,0.009999999776482582,9.919416399384318e-09,0.0,1.1744985073391945e-07,1.3481279773803898e-16,5.98374754190445e-08,1.6816940728858754e-08,,,,,,,,,,,,,,,,,
108,4110.777940988541,18048,1778874631.17454,92.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4112.614186286926,18248,1778874633.0107853,93.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,4114.273780822754,18448,1778874634.6703799,94.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,4114.728950500488,18500,1778874635.1255496,,,,4.786998175632107e-08,0.001044832868501544,-0.010000000707805157,-0.009999999776482582,9.988009423977928e-07,0.8168500065803528,-4.78699803352356e-07,-0.08402465283870697,3.8689370155334473,1.862645149230957e-09,0.0,4.7497451305389404e-07,0.010000000707805157,1.6988916229365714e-07,0.009999999776482582,9.988020188700375e-09,0.0,1.1954691103710502e-07,-3.9650824576879557e-16,6.123445928096771e-08,1.698891693990845e-08,,,,,,,,,,,,,,,,,
112,4116.017275810242,18648,1778874636.4138749,95.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4117.67990064621,18848,1778874638.0764997,96.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,4118.9699602127075,19000,1778874639.3665593,,,,7.176505789630028e-08,0.0007320158765651286,-0.010000000707805157,-0.009999999776482582,9.335728350379213e-07,0.8119000196456909,-7.176505505412933e-07,-0.08363514393568039,3.8692426681518555,2.394829667906606e-09,0.0,7.128609240680817e-07,0.010000000707805157,1.6495631882662565e-07,0.009999999776482582,9.335738404558924e-09,-1.6494742685168717e-15,1.194409833260579e-07,-3.3306693385732656e-16,6.007030606269836e-08,1.6495633303748036e-08,,,,,,,,,,,,,,,,,
115,4119.37108206749,19048,1778874639.7676811,97.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
